#{"env_id": "UR5KeepUp-v0", "t_start": 1565653139.5674882}
r,l,t
-18.903806,50,3.193837
-18.657686,50,3.516974
-20.943397,50,5.920039
-20.910971,50,7.840462
-21.609057,50,9.808935
-18.752445,50,11.733302
-20.186654,50,13.684244
-17.341643,50,15.569897
-19.393332,50,17.461738
-20.52885,50,19.315849
-19.86262,50,21.235024
-18.270598,50,23.080833
-20.446247,50,24.925306
-17.485118,50,26.848907
-20.845008,50,28.804512
-18.731145,50,30.700212
-17.040216,50,32.497656
-21.811414,50,34.337286
-20.102362,50,36.171043
