#{"t_start": 1565650905.5393214, "env_id": "UR5KeepUp-v0"}
r,l,t
-15.921716,50,3.286196
-18.491504,50,3.627236
-19.326363,50,6.037205
-19.648298,50,7.951963
-18.887389,50,9.762397
-18.372703,50,11.598553
-18.20398,50,13.486746
-19.498573,50,15.290718
-22.963784,50,17.196213
-17.055755,50,19.022015
-18.862361,50,20.867577
-18.819522,50,22.709612
-18.790567,50,24.561176
-16.877809,50,26.506579
-18.854227,50,28.35644
-19.669302,50,30.155361
-17.528729,50,31.921701
-20.385404,50,33.710434
-17.709189,50,35.533652
-20.281719,50,37.390416
-19.676701,50,39.255415
-17.352291,50,41.092598
-19.02125,50,42.983433
-19.01006,50,44.848953
-19.511006,50,46.702242
-19.595769,50,48.542658
-17.405487,50,50.343542
-20.626958,50,52.195168
-19.91182,50,54.000991
-18.81798,50,55.804545
-26.913938,50,57.601758
-18.998851,50,59.475304
-19.042779,50,61.347133
-21.70166,50,63.104769
-21.117012,50,64.908244
-19.184872,50,66.724928
-19.903774,50,68.623147
-16.511943,50,70.478008
-19.396779,50,72.345505
-14.512823,50,74.083663
-18.371162,50,75.882713
-16.456923,50,77.622314
-18.74288,50,79.43382
-19.477544,50,81.235276
-21.230522,50,83.1196
-17.208469,50,84.942515
-23.818801,50,86.800348
-19.542508,50,88.617401
-21.209737,50,90.435591
-17.121678,50,92.22546
-21.279962,50,94.070186
-21.770162,50,95.841287
-24.419594,50,97.629108
-18.814298,50,99.423199
-18.444094,50,101.191915
-17.810706,50,103.010476
-21.014253,50,104.78422
-20.320639,50,106.662102
-21.534586,50,108.464512
-18.107439,50,110.24171
-14.639855,50,112.022851
-16.409597,50,113.893824
-20.770447,50,115.697185
-18.851965,50,117.562725
-18.316852,50,119.411438
-16.685156,50,121.189398
-13.640365,50,123.027525
-17.99868,50,124.840038
-15.56375,50,126.61657
-17.147827,50,128.409092
-20.522609,50,130.229626
-12.34386,50,131.980088
-17.456692,50,133.804193
-17.06039,50,135.587731
-16.075092,50,137.388167
-18.023578,50,139.218527
-16.932703,50,141.028728
-17.693841,50,142.841762
-16.483572,50,144.639039
-17.015182,50,146.400755
-19.14096,50,148.213619
-21.376357,50,150.019826
-20.737515,50,151.763955
-12.705792,50,153.575462
-14.628264,50,155.314832
-15.792424,50,157.107983
-13.361719,50,158.90582
-14.731688,50,160.731205
-17.536461,50,162.58113
-18.129568,50,164.384903
-17.939321,50,166.240726
-14.955449,50,168.035255
-16.190572,50,169.874094
-15.073111,50,171.711262
-15.205629,50,173.544796
-12.646854,50,175.325902
-13.04251,50,177.108093
-14.273326,50,178.897926
-11.200977,50,180.676737
-14.590874,50,182.515082
-10.175262,50,184.415741
