total timesteps,success rate,ent_coef_loss,episodes,policy_loss,fps,value_loss,ent_coef,current_lr,n_updates,qf2_loss,mean 100 episode reward,entropy,time_elapsed,qf1_loss
4950,0.0,-11.44643,100,-7.051834,28,0.35492587,0.02364633,0.001,4850,0.11267254,8.4,4.556044,174,0.109429665
9950,0.0,-1.0646932,200,-16.967388,28,0.3005063,0.060587578,0.001,9850,0.31409183,64.1,2.1392326,355,0.27547115
14950,0.0,-0.37136245,300,-29.867302,27,0.708103,0.06257659,0.001,14850,0.46289256,86.8,1.4994544,536,0.55712134
19950,0.0,-1.7856367,400,-32.491272,27,0.92913795,0.058226176,0.001,19850,0.45013815,95.1,1.3066257,719,0.4804107
24950,0.0,1.9697245,500,-27.860443,27,0.6479336,0.056205105,0.001,24850,0.68441284,108.1,1.3919709,902,0.80309266
29950,0.0,0.42502564,600,-21.57757,27,0.7537324,0.07684642,0.001,29850,0.6862657,108.5,3.2409513,1088,0.75025
34950,0.0,1.0403197,700,-19.439575,27,0.9634331,0.070735276,0.001,34850,0.56468856,107.0,3.3014922,1273,0.5486661
39950,0.0,-0.011981085,800,-23.840088,27,1.1601152,0.06859186,0.001,39850,0.9451987,103.1,3.3540792,1457,0.71692383
44950,0.0,-1.0770917,900,-26.584175,27,0.75114053,0.049696192,0.001,44850,1.2211068,98.5,2.239174,1642,1.1738632
49950,0.0,0.93735623,1000,-31.407742,27,0.941923,0.05060347,0.001,49850,1.229851,112.7,2.7866695,1825,1.7007728
54950,0.0,-1.9027355,1100,-31.655079,27,1.007162,0.06275452,0.001,54850,1.37762,99.9,3.6845107,2006,1.4072968
59950,0.0,-0.038065195,1200,-36.04695,27,0.8009893,0.055049405,0.001,59850,0.635599,107.4,3.1200852,2189,0.53305876
64950,0.0,0.52052486,1300,-35.386307,27,0.9437652,0.05530926,0.001,64850,0.7232053,97.9,3.0923269,2369,0.8149114
69950,0.0,0.905759,1400,-35.267307,27,0.7109704,0.044830237,0.001,69850,0.670675,84.0,2.5309196,2551,0.76774395
74950,0.0,-0.2513407,1500,-33.59498,27,1.1978681,0.049409904,0.001,74850,1.2807565,101.6,2.7609634,2733,1.1681545
79950,0.0,-0.36575544,1600,-29.012691,27,1.1728629,0.05726721,0.001,79850,2.3408651,101.0,4.0529003,2917,2.4749968
84950,0.0,1.2807444,1700,-28.067936,27,0.7611209,0.05043741,0.001,84850,1.7479459,108.8,3.1681077,3100,1.6720023
89950,0.0,-0.5825238,1800,-28.966633,27,0.97617483,0.061093703,0.001,89850,0.83188677,111.8,3.4144678,3285,0.92741144
94950,0.0,1.18758,1900,-32.194168,27,0.8695193,0.051489715,0.001,94850,0.6505197,114.6,2.9915547,3468,0.74834096
99950,0.0,-1.3820968,2000,-30.803703,27,1.155541,0.05673232,0.001,99850,1.0824662,116.1,3.519422,3652,1.0416286
104950,0.0,0.8311105,2100,-30.884705,27,0.8889711,0.057659324,0.001,104850,0.7352015,117.6,3.8852596,3836,0.8712484
109950,0.0,3.0536609,2200,-31.381094,27,0.8090502,0.051381946,0.001,109850,0.98421365,116.7,3.4819734,4018,0.80756754
114950,0.0,0.5908973,2300,-31.461582,27,0.9518473,0.048733145,0.001,114850,1.4297686,118.0,3.2770345,4199,1.7855846
119950,0.0,0.6197887,2400,-31.237701,27,0.6654875,0.04944165,0.001,119850,2.4455345,119.5,3.053,4383,2.5955706
124950,0.0,-0.6237181,2500,-32.09372,27,0.94367635,0.04697848,0.001,124850,1.3445004,118.4,3.2295692,4567,1.5161679
129950,0.0,-3.9652166,2600,-32.67982,27,1.0340247,0.046405867,0.001,129850,1.0317866,119.9,2.5679212,4753,0.8066216
134950,0.0,-0.46125704,2700,-31.261932,27,0.8795049,0.062308263,0.001,134850,3.1052365,117.8,3.4342773,4938,2.6264298
139950,0.0,-0.51513183,2800,-31.467472,27,0.95392144,0.047195822,0.001,139850,0.77496636,120.9,3.2165425,5122,0.8620953
144950,0.0,3.4210978,2900,-30.899529,27,1.0452814,0.04850739,0.001,144850,0.836987,113.7,3.229619,5304,0.7442913
149950,0.0,2.0026994,3000,-32.600906,27,1.1922287,0.042455953,0.001,149850,2.191194,109.3,3.0065382,5490,1.5344383
154950,0.0,1.3837729,3100,-28.333298,27,1.0486742,0.043839183,0.001,154850,1.1540372,99.8,3.2310653,5671,1.0934821
159950,0.0,-1.8441305,3200,-29.573748,27,1.1939322,0.04260436,0.001,159850,1.0871421,115.0,2.7059703,5856,1.1401907
164950,0.0,-1.1919178,3300,-33.211426,27,0.8333706,0.04116342,0.001,164850,0.84277534,117.1,3.2155757,6042,0.7748685
169950,0.0,-1.8634695,3400,-31.098011,27,0.96818936,0.045905534,0.001,169850,1.0127788,117.7,3.6625957,6230,1.0153372
174950,0.0,2.0886636,3500,-31.69051,27,1.0193577,0.043999285,0.001,174850,0.877357,119.7,3.9959967,6414,0.77786833
179950,0.0,-1.9061232,3600,-32.251846,27,0.79545707,0.04576834,0.001,179850,0.9115102,118.1,3.3099,6612,1.1866682
184950,0.0,0.20810598,3700,-33.41322,27,1.0349785,0.039188497,0.001,184850,0.9358759,118.3,3.201189,6794,1.279166
189950,0.0,3.3963432,3800,-32.859467,27,0.93807197,0.038602173,0.001,189850,0.72523123,120.5,3.0436983,6976,0.77808446
194950,0.0,2.778269,3900,-33.67996,27,0.9634076,0.035363026,0.001,194850,1.7794087,121.4,2.9810824,7160,1.741698
199950,0.0,0.09738088,4000,-33.850933,27,0.9858875,0.038927257,0.001,199850,0.6962607,121.6,3.0047693,7342,0.8014263
